index,category,level,name,slug,asset_path,status
1,"Empurrar horizontal",0,"Empurrar a parede em pé",empurrar_parede_pe,assets/images/exercises/empurrar_horizontal/empurrar_parede_pe.png,generated
2,"Empurrar horizontal",1,"Flexão na parede",flexao_na_parede,assets/images/exercises/empurrar_horizontal/flexao_na_parede.png,generated
3,"Empurrar horizontal",2,"Flexão em superfície muito alta",flexao_superficie_muito_alta,assets/images/exercises/empurrar_horizontal/flexao_superficie_muito_alta.png,generated
4,"Empurrar horizontal",3,"Flexão inclinada média",flexao_inclinada_media,assets/images/exercises/empurrar_horizontal/flexao_inclinada_media.png,starter_reused
5,"Empurrar horizontal",4,"Flexão inclinada baixa",flexao_inclinada_baixa,assets/images/exercises/empurrar_horizontal/flexao_inclinada_baixa.png,generated
6,"Empurrar horizontal",5,"Flexão de joelhos",flexao_joelhos,assets/images/exercises/empurrar_horizontal/flexao_joelhos.png,generated
7,"Empurrar horizontal",6,"Negativa de flexão",negativa_flexao,assets/images/exercises/empurrar_horizontal/negativa_flexao.png,generated
8,"Empurrar horizontal",7,"Flexão tradicional",flexao_tradicional,assets/images/exercises/empurrar_horizontal/flexao_tradicional.png,generated
9,"Empurrar horizontal",8,"Flexão com pausa/tempo",flexao_pausa_tempo,assets/images/exercises/empurrar_horizontal/flexao_pausa_tempo.png,generated
10,"Empurrar horizontal",9,"Flexão declinada",flexao_declinada,assets/images/exercises/empurrar_horizontal/flexao_declinada.png,generated
11,"Empurrar horizontal",10,"Flexão diamante",flexao_diamante,assets/images/exercises/empurrar_horizontal/flexao_diamante.png,generated
12,"Empurrar horizontal",11,"Archer push-up assistida",archer_push_up_assistida,assets/images/exercises/empurrar_horizontal/archer_push_up_assistida.png,generated
13,"Empurrar horizontal",12,"Archer push-up",archer_push_up,assets/images/exercises/empurrar_horizontal/archer_push_up.png,generated
14,"Empurrar horizontal",13,"One-arm push-up elevada",one_arm_push_up_elevada,assets/images/exercises/empurrar_horizontal/one_arm_push_up_elevada.png,generated
15,"Empurrar horizontal",14,"One-arm push-up",one_arm_push_up,assets/images/exercises/empurrar_horizontal/one_arm_push_up.png,generated
16,"Empurrar horizontal",15,"Planche lean",planche_lean,assets/images/exercises/empurrar_horizontal/planche_lean.png,generated
